movie_title,MDS-1,MDS-2
Home Fries ,-3.749194859004324,-3.382686184304604
Firewall ,-1.5948960615115984,0.4227286975896375
Dick ,-3.148125411107182,-0.691616832248896
The Number 23 ,-2.9989307628015816,3.8351284110360306
Underclassman ,-1.1896478025226311,-5.32289454073549
Reservoir Dogs ,17.37206486566185,-7.781651340301274
Down to Earth ,-4.605759659305221,-2.002058146598622
The Muppet Christmas Carol ,-1.289435152942121,0.0385280147593227
Election ,-3.1522114503935144,3.3147647878132855
Ghostbusters ,8.3094287589702,0.9522808157303124
Johnny English ,-5.275360721914058,1.029318874099198
Barbershop 2: Back in Business ,-4.690329834740277,-1.2736430713585967
Takers ,-4.227867530950565,1.2649476294312245
Letters to God ,-4.253176245263904,-0.8053517412020241
The Legend of God's Gun ,-0.4141306965664296,-5.835518530223094
The Best Exotic Marigold Hotel ,0.29542674497106225,3.921471270934883
Toy Story 3 ,15.73387582758805,-1.0103931802449202
Fool's Gold ,-4.273174471167172,1.5158860409492907
Me Before You ,-0.029135135750445657,2.479051212671694
Trance ,3.116710215679058,3.6364157966587762
Civil Brand ,-3.855237981946658,-3.2062118928283008
Lucky Break ,-5.276083902374928,-0.5439448714515825
To Die For ,-4.835930931781211,0.3624688521188742
This Is England ,-2.0892880192062875,3.5045152761712672
Anastasia ,-4.156941196056522,1.3516485768759192
Zoolander ,2.2869133261054633,-0.7497997545797076
Halloween: Resurrection ,-0.5119092206651078,-3.956825106526679
Legend of the Guardians: The Owls of Ga'Hoole ,-3.222661074828947,3.6916674424120184
Motherhood ,-2.7369823440733048,-4.051926807393937
Six-String Samurai ,-4.915804720677332,-0.11734939115980556
Dear Wendy ,-5.253545599292842,1.152899756967955
Whatever It Takes ,-4.612702240893005,-2.089756515741382
Philomena ,2.8502353389769675,3.850529246914123
The Others ,1.9430008980393743,3.2352934543963707
River's Edge ,-1.586628380826519,-1.3354000596765603
American Gangster ,5.095232103325562,2.2479147353823046
Around the World in 80 Days ,-4.412613710235398,1.9637993271136902
Half Nelson ,-2.7015106042590302,3.51205830298603
Krampus ,-2.7328841487228166,3.007139485979583
I Am Sam ,-2.0080637245696664,3.1267677162984
Ghost Town ,-3.510028924325948,3.332367087176016
Control ,-1.7871907887322593,3.618972546457168
Burnt ,-3.103411411713695,3.066373049099122
A Better Life ,-3.5648825945902747,1.7101824086752113
Young Sherlock Holmes ,-2.175484089843011,-1.1722795859422048
Bad Boys II ,-1.3580120532867797,1.1672143394937484
G-Force ,-2.4441115047608877,-1.8695235956021554
Aladdin ,3.417299568679419,-0.08152703829371746
Four Christmases ,-3.3090699344413728,-0.2886307469370121
Quinceañera ,-4.1630834857397465,0.9141186531536796
Star Trek IV: The Voyage Home ,8.5325152517225,-5.120855875930802
10 Things I Hate About You ,-1.2177857703964745,1.7207682789942618
The Adventurer: The Curse of the Midas Box ,-3.2584689959243582,-2.7689853385549754
My Super Ex-Girlfriend ,-4.099672130507501,-1.799211886643709
Out Cold ,-5.098450058674708,-0.6758044002384671
Oculus ,0.822463153378253,4.056057061242334
Robin Hood ,3.0705750578281386,3.3855206290672593
Die Another Day ,1.9912554038691481,2.000752730647234
Exiled ,-3.8433757563519295,1.9833042429312042
Hardball ,-5.49179367589534,0.5758227569820696
The Muse ,-5.022655069087392,-1.0861877903801642
Bride of Chucky ,-4.4567745343399086,-1.6503977163821462
Beavis and Butt-Head Do America ,-3.9321854306687833,0.18700306568867586
The Ladykillers ,-3.131030251995544,2.375092407568491
Sabotage ,-1.8487298338630898,2.185856330439896
The Canyons ,0.06515790395862331,-4.66088058923752
Contact ,0.20408377537566785,2.5207158891867167
The Emperor's Club ,-5.233755910621318,1.4813425295456255
The Astronaut's Wife ,-3.6814787569135556,-1.470960863760577
Layer Cake ,-3.103071206941096,3.1961770522565742
My Sister's Keeper ,-3.0916020564561215,3.4376834755654495
Don't Say a Word ,-5.4400781892951535,1.4093408243125014
Nim's Island ,-5.182984265633782,1.1969185165339
Charlie's Angels ,-1.7217192105368708,0.5309341795732705
Poetic Justice ,-4.221982739047362,-2.185376922966024
Home Run ,-3.620884846021643,-1.6034192346946547
Into the Blue ,-5.367266070146959,0.533809944031203
Finding Nemo ,13.129581547127204,-1.0763719080904481
Tadpole ,-4.941877749198046,-0.09505000517576874
The Untouchables ,1.0671179816262855,0.7228439581143575
Ready to Rumble ,-4.649936402684733,-2.3003541342798717
Inside Man ,0.7194258577524105,3.912674500420601
The Time Machine ,-4.6643347806794715,0.9260212170838816
Mad Max Beyond Thunderdome ,-2.7824890263115605,-0.4638746365886709
Rumble in the Bronx ,-4.704087032008329,0.02689126351887488
28 Days ,-5.051997050795557,0.46055562256914284
Fireproof ,-4.606930574032172,0.5262264161205196
Hotel Rwanda ,0.8251168483304714,3.42391978005037
Bella ,-3.2089550631117922,0.9456194497452831
Nanny McPhee ,-5.084080346642213,2.158286039767464
Head of State ,-4.781922392889298,-2.165597519451542
From Dusk Till Dawn ,-1.8143720782424022,3.0589889417915064
The Prophecy ,-4.918537588801794,0.012114081772176218
Tangled ,4.841421339153338,3.051455522143055
In Her Line of Fire ,-0.8238496071509259,-5.67206916931912
Resident Evil: Afterlife ,-1.7682698437638718,3.860809121265002
My Name Is Bruce ,-5.125377078469043,0.5077511469139225
The Doors ,-1.8781181264567706,0.3598170343366043
Primary Colors ,-3.6285388264684504,1.3476163113521384
DragonHeart ,-5.106618267193995,0.13608233743767828
The Legend of Zorro ,-4.865363622459442,1.369916853367048
The Howling ,-1.0977664407969967,-0.5247286561662947
