movie_title,PC-1,PC-2
Kingpin ,-0.10170450181607782,0.09649089638992378
I Know What You Did Last Summer ,-0.07565868787501893,-0.03285198160301439
Wicker Park ,-0.07019987976939839,0.050963311037116106
Shakespeare in Love ,0.05092050355979941,0.06574947747828078
Fatal Attraction ,-0.04241939812495125,0.11433598617576715
Scary Movie 5 ,-0.19801841154534233,-0.23282951894360973
The Santa Clause ,-0.10195288968154761,0.05719783474011895
Rugrats in Paris: The Movie ,-0.17607969796534073,0.023616366938416802
Megiddo: The Omega Code 2 ,-0.3060736662474892,-0.057851334257135616
Kick-Ass ,0.39244942309659536,-0.10200204007811918
A Nightmare on Elm Street ,0.10217897990145763,0.08075400000519511
The Whole Nine Yards ,-0.04348812112163936,0.020468389393250137
One Night with the King ,-0.16152051544180407,0.0333783292184479
You Again ,-0.13845502433324816,-0.049612327561887076
Hide and Seek ,-0.03858357948043876,-0.06905805158344187
RocknRolla ,0.07645895653266652,-0.021776079117954743
The Quick and the Dead ,-0.13729004828023125,0.07322688200040946
The Fast and the Furious ,0.1543525936193605,-0.03128838684813612
Teenage Mutant Ninja Turtles III ,-0.2383272830630047,-0.008875817476176339
Bad Grandpa ,0.004612164543290106,-0.0674348154221174
88 Minutes ,-0.07305272594293297,-0.06058123776368009
Connie and Carla ,-0.14462711995619004,0.01752046326124328
Triple 9 ,-0.0043593183313914464,-0.11008861573569022
Bride of Chucky ,-0.1600770981671255,-0.03273055751547774
Monte Carlo ,-0.13870631867130268,-0.05576029089281072
Hoodwinked! ,-0.061936156355768233,-0.026011531959977477
This Is the End ,0.39087697868740123,-0.25318056478954976
House on Haunted Hill ,-0.09564126140727272,-0.03953829341721517
Holes ,-0.03379434513943272,0.05085731760910843
Urban Legends: Final Cut ,-0.22851781841478225,-0.1037077535983097
How to Deal ,-0.20255404851066444,0.0027712532174133386
Predator 2 ,-0.0956990462780343,0.05850669743304708
Double Take ,-0.23666511328355555,-0.005632757716250679
The Bridges of Madison County ,0.15638480313374556,0.5657300067376216
Honey ,-0.1711308661098218,-0.049917235683915116
Dylan Dog: Dead of Night ,-0.1564319665613036,-0.10706757488107896
The Princess Bride ,0.12740555232195966,0.13160825102910045
Buffalo Soldiers ,-0.09486218338673699,0.0444911238794656
The Homesman ,-0.007834083760108204,-0.07739318422151727
Three to Tango ,-0.1581415986321016,0.02403482299238509
Soul Surfer ,-0.03974208495675808,0.0001275232370051881
Ramona and Beezus ,-0.1134188216843147,0.004399177044411562
The Woman in Black ,0.23878930862607906,-0.2269027823749994
Lucky Number Slevin ,0.12679198135643374,0.023285646729769093
The Thing ,0.2032373896367703,0.11433606707512772
Big ,0.0048549531666392046,0.14483139227189382
Keeping the Faith ,-0.0524693102963379,0.006812092319279102
About a Boy ,0.00733552340970591,0.031059560273162645
3 Ninjas Kick Back ,-0.3245941925709246,-0.009690704855531668
