actor_1_facebook_likes,budget,actor_2_facebook_likes,,,
0.001445313,0.00122793,0.004817518,,,
0.1359375,0.004093143,0.080291971,,,
0.025,0.001064204,0.058394161,,,
0.0125,0.002619605,0.006656934,,,
0.001317188,0.002046562,0.004328467,,,
0.025,9.82E-05,0.087591241,,,
0.001529688,0.002455878,0.00650365,,,
0.000354688,0.000982341,0.000686131,,,
0.003125,0.000654888,0.006138686,,,
0.001223438,0.011788284,0.00270073,,,
0.000667188,0.002865194,0.002218978,,,
0.00116875,0.00147352,0.004788321,,,
0.0359375,0.001637246,0.02919708,,,
0.000685938,0.000286503,0.002912409,,,
5.00E-05,2.44E-06,0.000124088,,,
0.0015625,0.000818614,0.002919708,,,
0.0234375,0.016372624,0.00729927,,,
0.0171875,0.005730407,0.00729927,,,
0.0171875,0.001637246,0.072992701,,,
0.0046875,0.001637246,0.00729927,,,
0.000932813,4.09E-05,0.003540146,,,
0.001207813,0.000491161,0.005591241,,,
0.0015625,0.001637246,0.007058394,,,
0.0015625,0.000122777,0.005751825,,,
0.00625,0.004093143,0.00589781,,,
0.021875,0.002292152,0.072992701,,,
0.003125,0.00122793,0.006306569,,,
0.003125,0.006549039,0.004766423,,,
0.0015625,0.000409298,0.006518248,,,
5.16E-05,0.000163709,2.19E-05,,,
0.001479688,0.004093143,0.003839416,,,
0.0171875,0.00122793,0.006547445,,,
0.0015625,0.000982341,0.003518248,,,
0.000753125,0.001391657,0.001481752,,,
0.028125,0.000155522,0.00729927,,,
0.028125,0.008186303,0.005708029,,,
0.0015625,0.009004935,0.00729927,,,
0.0515625,5.73E-05,0.003788321,,,
0.0046875,0.00122793,0.00480292,,,
0.001510938,0.001800973,0.006656934,,,
0.000540625,0.001637246,0.00029927,,,
0.001320313,0.000368367,0.004605839,,,
0.021875,0.001637246,0.00729927,,,
0.001170313,0.000818614,0.001839416,,,
0.000242188,0.00147352,0.001051095,,,
0.015625,0.010642199,0.006554745,,,
0.001140625,0.012279463,0.004430657,,,
0.0765625,0.002292152,0.01459854,,,
0.00625,0.006549039,0.02189781,,,
0.000360938,3.27E-05,0.001459854,,,
0.01875,0.002046562,0.004846715,,,
0.0359375,0.001309793,0.094890511,,,
0.003125,0.002046562,0.001664234,,,
0.001520313,0.002455878,0.005664234,,,
0.001248438,0.000900477,0.005189781,,,
0.00151875,0.000409298,0.002970803,,,
0.001392188,0.016372624,0.006437956,,,
0.001201563,0.011624558,0.005591241,,,
0.000242188,0.002865194,0.00070073,,,
0.028125,0.00171911,0.004072993,,,
0.01875,0.00122793,0.005992701,,,
0.000445313,0.002046562,0.000591241,,,
0.0203125,0.000982341,0.01459854,,,
