n,eigan_value
1,0.0469136611575
2,0.0192998777558
3,0.0155072842127
4,0.0106596443116
5,0.00595207773502
6,0.00478911175627
7,0.00429720775891
8,0.00319829093726
9,0.00193047658773
10,0.00168577760859
11,0.00142175593341
12,0.00118415002102
13,1.41857033134e-06
14,0.000103512149924
15,0.00027967587184
16,0.000414851018331
