actor_1_facebook_likes,budget,actor_2_facebook_likes,,,
0.0203125,0.002210289,0.006218978,,,
0.0703125,0.001391657,0.02919708,,,
0.000764063,0.002455878,0.000678832,,,
0.0015625,0.002046562,0.001927007,,,
0.001384375,0.001146067,0.002014599,,,
0.0484375,0.001637246,0.006430657,,,
0.001407813,0.001800973,0.005656934,,,
0.001517188,0.002455878,0.006160584,,,
0.003125,0.001800973,0.004343066,,,
0.000864063,0.002455878,0.003562044,,,
0.0625,0.000147336,0.006218978,,,
0.0203125,0.001964699,0.01459854,,,
0.000845313,0.001637246,0.001817518,,,
0.003125,0.001637246,0.006846715,,,
0.034375,0.002455878,0.005927007,,,
0.0421875,0.00147352,0.131386861,,,
0.0453125,0.002619605,0.00120438,,,
0.0359375,0.003110784,0.102189781,,,
0.000832813,0.001391657,0.00159854,,,
0.001445313,0.00122793,0.000277372,,,
0.021875,0.002455878,0.007116788,,,
0.001228125,0.001637246,0.004138686,,,
0.021875,0.001637246,0.087591241,,,
0.000445313,0.002046562,0.000591241,,,
0.0046875,0.001637246,0.005656934,,,
0.0171875,0.001432588,0.007145985,,,
0.0265625,0.002619605,0.080291971,,,
0.001382813,0.001555383,0.006043796,,,
0.00093125,0.001637246,0.001934307,,,
0.001425,0.001146067,0.005737226,,,
0.00126875,0.001309793,0.002379562,,,
0.003125,0.002865194,0.004985401,,,
0.0015625,0.001964699,0.003569343,,,
0.025,0.002865194,0.080291971,,,
0.003125,0.002046562,0.00729927,,,
0.000629688,0.001637246,0.002686131,,,
0.028125,0.001309793,0.004642336,,,
0.0014625,0.00122793,0.006029197,,,
0.001379688,0.001309793,0.004350365,,,
0.003125,0.001637246,0.00729927,,,
0.003125,0.00147352,0.00580292,,,
0.0008,0.00122793,0.002306569,,,
0.0171875,0.001391657,0.002379562,,,
0.0203125,0.002210289,0.080291971,,,
0.001495313,0.00122793,0.001189781,,,
0.0234375,0.00147352,0.080291971,,,
0.001492188,0.002455878,0.006343066,,,
0.000103125,0.002455878,3.65E-05,,,
0.000625,0.001637246,0.001605839,,,
0.001078125,0.002865194,0.003335766,,,
0.034375,0.002292152,0.080291971,,,
0.034375,0.002046562,0.006233577,,,
