movie_title,MDS-1,MDS-2
Home Fries ,1.3785816841524974,-0.768844544311916
Firewall ,0.8184726461373854,-0.6862440828855308
Dick ,0.9658081204650976,-0.3428452907758637
The Number 23 ,0.8963125541346955,-0.11306659334266883
Underclassman ,0.13723999563505132,-2.0701990683567737
Reservoir Dogs ,-8.026693118878402,1.0181595356388073
Down to Earth ,1.3821454532187907,-0.496693428517856
The Muppet Christmas Carol ,0.49439483385319655,1.2816094414560457
Election ,0.8406821032865289,0.7727238916453344
Ghostbusters ,-2.0346235849565906,-1.6798264731360117
Johnny English ,1.303635316404214,-0.047524436166801055
Barbershop 2: Back in Business ,1.464105400260897,-0.4404854461719802
Takers ,1.4275009369560412,-0.3042601883487445
Letters to God ,1.5981873041980303,-0.08214538381193005
The Legend of God's Gun ,-0.013663876326262186,-2.141567470771519
The Best Exotic Marigold Hotel ,0.6334260370429436,0.20774144060550417
Toy Story 3 ,-3.6812494144675756,-0.31938984045512575
Fool's Gold ,1.1264284979294674,-0.5496181039637343
Me Before You ,1.0411749457458483,0.2703795886436668
Trance ,-0.2797442079067484,-0.27785031652619413
Civil Brand ,1.3727427713358584,-0.889342080090002
Lucky Break ,1.5420349831890552,0.18832806603857713
To Die For ,1.2215307471250485,0.8259917961152997
This Is England ,0.9136845765255539,0.6969260353501371
Anastasia ,1.0742228153454327,0.8192342369036193
Zoolander ,-0.8838231523009918,-0.3034652953281218
Halloween: Resurrection ,-0.06991305345501728,-1.8310316356091572
Legend of the Guardians: The Owls of Ga'Hoole ,1.1441476589181074,0.1541679666193521
Motherhood ,0.8188900620352287,-1.4738029605804286
Six-String Samurai ,1.3422961378141185,0.5865016896394637
Dear Wendy ,1.4377183334193193,0.27264263291891566
Whatever It Takes ,1.4916892102919497,-0.5068023822948996
Philomena ,-0.007611760249168263,0.11388010523178524
The Others ,-0.21071487388096716,0.7865044490223841
River's Edge ,0.5294819256231169,1.3951924671081282
American Gangster ,-0.2531865547548169,0.7676495686558318
Around the World in 80 Days ,1.1263149245139465,-0.26981508442688157
Half Nelson ,0.9621813549044806,0.3820423043764238
Krampus ,1.062274907858085,-0.47707638492589327
I Am Sam ,0.868282949002069,0.9538045857300088
Ghost Town ,1.0662229505610896,0.055197010683075746
Control ,1.0128079163008008,0.6821761824114128
Burnt ,1.2505883098589876,-0.2229792845106795
A Better Life ,1.3902253250679577,0.3487006853096802
Young Sherlock Holmes ,0.7764408761043264,1.229777418324903
Bad Boys II ,0.7201369744952657,0.5341574138294755
G-Force ,0.6993495941359956,-1.0515641798539992
Aladdin ,-1.1392225308982447,1.3406028828861336
Four Christmases ,0.9965402814597306,-0.6769516811288
Quinceañera ,1.3502320896848408,0.46990750756651745
Star Trek IV: The Voyage Home ,-4.819687741205442,1.4537818551286663
10 Things I Hate About You ,0.6868676119560966,0.7216578536062225
The Adventurer: The Curse of the Midas Box ,1.1244374935966621,-1.199826598069084
My Super Ex-Girlfriend ,1.0965436875801953,-0.8491839357537221
Out Cold ,1.4950447837091545,0.22074055087075112
Oculus ,0.16971521283023133,-0.4120826944069511
Robin Hood ,-0.11247785674769398,-0.044385396488104883
Die Another Day ,-0.3670776551711344,-0.1340419457655757
Exiled ,1.3111393618967964,0.5845445025558342
Hardball ,1.4766014733934676,0.19666917751964746
The Muse ,1.4640922519973762,-0.22241055412974428
Bride of Chucky ,1.3204815013308568,-0.39049732336908205
Beavis and Butt-Head Do America ,1.0622723165912202,0.6982755262101116
The Ladykillers ,1.0699568323355018,-0.11151347155913764
Sabotage ,0.8504943781933086,-0.73246977293037
The Canyons ,-0.3263375895038056,-2.1522439504144852
Contact ,0.44471825571927304,1.0414334934152663
The Emperor's Club ,1.3822637074144306,0.530144799534199
The Astronaut's Wife ,1.2296586202880366,-0.5757890720289254
Layer Cake ,1.0711260768789088,0.6726371763681546
My Sister's Keeper ,1.245351404598269,0.48563484503862664
Don't Say a Word ,1.400170113811538,0.20976905614031952
Nim's Island ,1.3509869952914553,-0.33035057912985005
Charlie's Angels ,0.5824388415935658,-0.45546237548895413
Poetic Justice ,1.516909549380469,0.48780092877092474
Home Run ,1.5176595608409655,-0.6576438804713223
Into the Blue ,1.4439076674826057,-0.3103224029279475
Finding Nemo ,-3.7624599461213193,0.4976462558857771
Tadpole ,1.3601962224367985,0.14262123527107645
The Untouchables ,-0.20804806759849498,1.5875282747805313
Ready to Rumble ,1.4760064514457203,-0.5046073492708099
Inside Man ,0.5210874093614477,0.717965899315061
The Time Machine ,1.1678965044987313,-0.1348201146775111
Mad Max Beyond Thunderdome ,1.0498548987256529,0.8210055735851551
Rumble in the Bronx ,1.2354809363665114,0.6734413656396749
28 Days ,1.3592396271056502,-0.0018056300727788894
Fireproof ,1.5239362865989519,0.20171174820042953
Hotel Rwanda ,0.4871932501507756,1.0075596190474034
Bella ,1.2286631421251346,0.6572333141666752
Nanny McPhee ,1.3575358822576185,0.1661401352015805
Head of State ,1.439399853290918,-0.5678542407610403
From Dusk Till Dawn ,0.6400226504411763,0.8954036985975802
The Prophecy ,1.2972720272332072,0.6482606580204407
Tangled ,-0.5071372932448177,0.41640348828114154
In Her Line of Fire ,0.09610682402600071,-2.101564832452974
Resident Evil: Afterlife ,0.6608492201051862,-0.5735870271060693
My Name Is Bruce ,1.4196814434628193,-0.07464852026875247
The Doors ,0.6281019013995528,1.2492529081966521
Primary Colors ,1.0688902888044174,0.6539890840888529
DragonHeart ,1.34689820081042,0.5355796566509531
The Legend of Zorro ,1.3282455155737338,-0.15379645878794987
