movie_title,MDS-1,MDS-2
Kingpin ,4.331133137577018,1.7473375268258735
I Know What You Did Last Summer ,3.0311923942285364,1.776458990012577
Wicker Park ,5.095198260156276,0.6218822851581968
Shakespeare in Love ,2.5826987159915578,-1.407343113684863
Fatal Attraction ,0.4451157619798914,0.6345018506902895
Scary Movie 5 ,-4.856638795770913,3.5170214113532183
The Santa Clause ,2.1225308883568097,1.8610432795167215
Rugrats in Paris: The Movie ,3.0047216394650444,3.243713684136013
Megiddo: The Omega Code 2 ,-1.7458022188831637,5.26658651864549
Kick-Ass ,-5.274316345262673,-6.615001306822864
A Nightmare on Elm Street ,-0.840913982615469,-2.162881780555233
The Whole Nine Yards ,4.964543296830481,0.5121432902148848
One Night with the King ,3.9034284405561954,2.6277256307269163
You Again ,3.4537160533855946,2.5675323500033596
Hide and Seek ,5.064141051648969,0.18461352820228064
RocknRolla ,1.9612374905960628,-2.3209052567250668
The Quick and the Dead ,4.1288849229846845,2.5678030829431786
The Fast and the Furious ,-0.7376409195770779,-2.3860939385926185
Teenage Mutant Ninja Turtles III ,0.664036883270072,4.682412352679133
Bad Grandpa ,3.9019504898514388,-0.8984947463417743
88 Minutes ,5.434031959048294,1.0649650002083049
Connie and Carla ,4.911113729689452,2.5521271071681157
Triple 9 ,3.0907222511256305,-1.3045466327100965
Bride of Chucky ,3.034056054317091,3.7235114216509717
Monte Carlo ,4.354272520690392,2.631099663807319
Hoodwinked! ,4.945600374775411,0.690795507270784
This Is the End ,-10.048133887667158,-5.771787128564472
House on Haunted Hill ,3.6646402055097402,2.1422731887356927
Holes ,4.859083474654583,0.009753411223963913
Urban Legends: Final Cut ,-0.8946219377622625,4.699876783411403
How to Deal ,3.768675960630823,4.000475520013392
Predator 2 ,3.392343225886475,1.9277337101651437
Double Take ,2.3449411167774152,4.635618616840025
The Bridges of Madison County ,-15.14867106581781,-0.26453031343243544
Honey ,3.565978303219724,4.057753613574224
Dylan Dog: Dead of Night ,2.2607884097892357,3.5675980093352946
The Princess Bride ,-1.8386754279152133,-2.3620961145150225
Buffalo Soldiers ,5.115561802514958,1.218378625388968
The Homesman ,4.107179731191295,-1.3742704447571452
Three to Tango ,4.515397821269664,3.0443162134401875
Soul Surfer ,4.553667489936014,-0.11836676104943081
Ramona and Beezus ,4.742491510479553,1.4867086781508496
The Woman in Black ,-2.987045409349169,-5.557749538486999
Lucky Number Slevin ,1.5939805890400833,-3.1689145082895784
The Thing ,-3.991206692651617,-3.478529241025094
Big ,0.23962937732344258,-0.14811067563756178
Keeping the Faith ,4.984981263005729,0.6344457914116194
About a Boy ,4.857312832682833,-0.8947285478794661
3 Ninjas Kick Back ,-1.779213789612581,5.315934204683081
Warriors of Virtue ,-0.137454026062678,5.145985943767583
Last Vegas ,3.4841071356331605,-2.320001968702404
Goodfellas ,-21.49803747093715,-3.0487453344019095
The End of the Affair ,4.458584725724435,1.0552758845760555
Dances with Wolves ,-8.584762995094657,-1.6690774465931009
Star Wars: Episode VI - Return of the Jedi ,-10.699828819403937,-4.333324932093025
