movie_title,PC-1,PC-2
Home Fries ,-0.25174918354782344,-0.012487735299938511
Firewall ,-0.044710354891842746,-0.08065303327618503
Dick ,-0.1323795270430388,0.00802701038479986
The Number 23 ,0.04687008929025941,-0.06643383386136223
Underclassman ,-0.30397011897245263,-0.08638693759976379
Reservoir Dogs ,0.41819078448792624,0.5663439665227611
Down to Earth ,-0.18941959757740198,-0.019210672535497124
The Muppet Christmas Carol ,-0.08205910103565532,0.1415258271456169
Election ,0.017867491469317025,0.05850221788117233
Ghostbusters ,0.2788575691374556,-0.3137463973747706
Johnny English ,-0.09077086204579846,-0.02199218525168475
Barbershop 2: Back in Business ,-0.1778075026678791,-0.00920575327969534
Takers ,-0.07665511286931984,-0.05117047108961793
Letters to God ,-0.18660647352301615,0.015570901284415344
The Legend of God's Gun ,-0.33620307119020315,-0.08810724056300513
The Best Exotic Marigold Hotel ,0.1302209239246988,-0.07761541761025977
Toy Story 3 ,0.5699598323784596,-0.13344312715438114
Fool's Gold ,-0.05839437178329562,-0.09447051184829186
Me Before You ,0.056654194274786865,-0.042222027484458705
Trance ,0.17830424626127864,-0.1715123370368081
Civil Brand ,-0.26562017277746547,-0.0009034843975978465
Lucky Break ,-0.18306389700080272,0.03943654581648106
To Die For ,-0.11786337261860465,0.11578182527555658
This Is England ,0.031801032313174465,0.0270569243853745
Anastasia ,-0.06910041765771181,0.09085322864097507
Zoolander ,0.029756166697962348,-0.016951573082292365
Halloween: Resurrection ,-0.16823560103733062,-0.13773649507634034
Legend of the Guardians: The Owls of Ga'Hoole ,0.0236041631987052,-0.051010868134312964
Motherhood ,-0.26309659184301537,-0.08434507206163218
Six-String Samurai ,-0.16433267711885452,0.0725128840970444
Dear Wendy ,-0.11450369038432506,0.02434122289963966
Whatever It Takes ,-0.2161546118813325,-0.0015140248678567197
Philomena ,0.19633832365468812,-0.11927531143655315
The Others ,0.19925604036604466,0.01521155632442573
River's Edge ,-0.15094199280932838,0.16011246131394968
American Gangster ,0.2730924976436493,-0.008075850973874879
Around the World in 80 Days ,-0.053149706817583554,-0.05949586358919111
Half Nelson ,0.02058562235950723,-0.016595755089925574
Krampus ,-0.009572009511891957,-0.1265305345477853
I Am Sam ,0.034756641610682204,0.07570912704847604
Ghost Town ,-0.006389282686839269,-0.05119178030149223
Control ,0.03831705319638726,0.022962246623089884
Burnt ,-0.01206961805962185,-0.09010643394083784
A Better Life ,-0.08365798061303471,0.015363806838217763
Young Sherlock Holmes ,-0.14871510656978026,0.1527810784886268
Bad Boys II ,0.012442276743139385,0.03699304039504672
G-Force ,-0.11305085962453526,-0.12394288002791774
Aladdin ,0.10321057509301124,0.1238069412335201
Four Christmases ,-0.080660120735709,-0.09176237125383034
Quinceañera ,-0.12238329192887572,0.041224979544636234
Star Trek IV: The Voyage Home ,0.11735589727306131,0.45825485334222643
10 Things I Hate About You ,0.02982295450573652,0.04646095679418984
