movie_title,PC_1,PC_2
Yes Man,0.078665571,-0.038606952
Marley & Me,0.077058907,-0.027606399
Bridge to Terabithia,0.075749505,-0.029042325
Poltergeist,0.072677668,0.111316303
The Kingdom,0.071356897,-0.022567597
American Pie,0.070074542,0.033053717
The Guard,0.068500482,-0.060693821
Fantastic 4: Rise of the Silver Surfer,0.067628791,-0.144787649
Jumper,0.066513107,-0.101239165
The Godfather: Part III,0.065757284,0.155155163
Notting Hill,0.064730512,0.03452883
Waltz with Bashir,0.060585342,0.011579
Just Go with It,0.060507967,-0.082567616
The Day the Earth Stood Still,0.06028096,-0.147077793
The New World,0.060016022,-0.029320572
Vantage Point,0.055238539,-0.080991197
The Kite Runner,0.055071406,0.028757885
Gremlins,0.054847446,0.097521936
Religulous,0.054560762,0.008189115
Office Space,0.053945876,0.091623937
A Walk Among the Tombstones,0.053210044,-0.111494923
50 First Dates,0.05237769,-0.004835909
Step Brothers,0.052181948,-0.018893513
Dodgeball: A True Underdog Story,0.051795534,-0.035282478
Hercules,0.051663382,-0.13799287
The Rite,0.051002111,-0.142429962
Talladega Nights: The Ballad of Ricky Bobby,0.048848296,-0.029523803
A Scanner Darkly,0.04793986,-0.033201679
The Interpreter,0.047870233,-0.044593041
Money Monster,0.046643618,-0.125815513
Broken City,0.045803316,-0.142503803
Home,0.045628056,-0.092378488
Your Highness,0.045367547,-0.172980032
The Untouchables,0.044398161,0.16219704
The Lunchbox,0.042689667,-0.009472191
Open Range,0.040902714,0.050847708
Speed,0.037698138,0.089923391
Jay and Silent Bob Strike Back,0.037312255,0.004123352
Control,0.036452306,0.031876876
Pandorum,0.03613621,-0.051756072
Super,0.035572621,-0.058086066
Lady Vengeance,0.035366886,0.026175785
Ronin,0.031963295,0.073411542
Ali,0.031961176,0.019973483
Insidious: Chapter 3,0.031518421,-0.135812427
Eat Pray Love,0.029826471,-0.104448797
This Is England,0.029717936,0.038053322
W.,0.027802162,-0.077420022
Land of the Dead,0.023959535,-0.089193467
Radio Days,0.023809404,0.470669602
House of Sand and Fog,0.023271211,0.058478201
Back to the Future Part III,0.023155467,0.127814518
The Last Exorcism,0.022807322,-0.177858585
The Hunt for Red October,0.021925972,0.146667856
The Box,0.021807636,-0.142856379
Running Scared,0.020888907,0.029832663
Clerks,0.020658813,0.120107242
Celebrity,0.019600532,0.331509034
P.S. I Love You,0.018977459,0.019716453
Blindness,0.01812895,-0.045098291
Half Nelson,0.017745794,-0.008288404
Bernie,0.017667552,-0.073688233
Vera Drake,0.017464627,0.068456101
Bright Star,0.016463798,-0.028222614
Thirteen Days,0.012470673,0.059932579
The Conspirator,0.009895624,-0.035087117
Kinsey,0.008415362,0.015591027
Ninja Assassin,0.008250644,-0.081854713
Paycheck,0.007833559,-0.024057893
Black Snake Moan,0.007038967,-0.008846684
Big,0.004854953,0.144831392
The Other Woman,0.003982846,-0.106501371
Mad Max 2: The Road Warrior,0.003831918,0.166575076
Bullet to the Head,0.003485922,-0.158548206
Unfriended,0.003441162,-0.174681145
The Station Agent,0.001555659,0.060926283
Monster's Ball,0.001296038,0.046475421
Monster House,0.000640964,-0.048972529
Eight Below,6.48E-05,0.035006204
Ghost,-7.09E-06,0.109783365
John Q,-0.001169327,0.043981187
Days of Thunder,-0.001243611,0.387558189
Philadelphia,-0.00214263,0.158845711
Three Burials,-0.002638123,0.02910699
The Polar Express,-0.002726788,-0.025601856
Duplicity,-0.002887243,-0.07569991
I Spit on Your Grave,-0.003333878,-0.089435613
Scream 3,-0.003982544,-0.0825686
Triple 9,-0.004359318,-0.110088616
Morning Glory,-0.00495416,-0.068921007
2 Fast 2 Furious,-0.007131592,-0.044945815
Failure to Launch,-0.007492137,-0.128045828
Rush Hour 3,-0.00772128,-0.054795208
Sleepers,-0.007841166,0.13336623
Whale Rider,-0.008317848,0.059502816
Doom,-0.00967442,-0.128411713
Frida,-0.01032319,0.069933325
The Longest Ride,-0.011362612,-0.017197337
Aloha,-0.012617076,-0.166047694
Get Hard,-0.012958482,-0.112924921
Burnt,-0.013316156,-0.080113971
Starsky & Hutch,-0.01417795,-0.043584454
Hollow Man,-0.014290565,-0.031637311
Animal House,-0.014776639,0.204185258
Everybody's Fine,-0.01776921,-0.005006511
The Last Witch Hunter,-0.018840618,-0.125244546
The Matador,-0.019922384,-0.021805056
Stir of Echoes,-0.020880381,0.037892716
Dr. No,-0.021440771,0.224526139
Death Sentence,-0.021451297,-0.015290815
Frozen River,-0.022057805,-0.00691786
S.W.A.T.,-0.02268753,-0.039131452
She's Out of My League,-0.023463871,-0.062594681
Go,-0.024079294,0.067276139
The Family Man,-0.02450279,0.04267398
Glory,-0.025289955,0.188450771
Saw IV,-0.025301457,-0.080374307
Winter's Tale,-0.026009403,-0.092253658
Men of Honor,-0.026622285,0.074339055
Made in Dagenham,-0.028274249,-0.007877598
The Hurricane,-0.029432387,0.132908858
Repo! The Genetic Opera,-0.029510363,-0.00052112
Our Idiot Brother,-0.029802391,-0.07550326
Texas Chainsaw 3D,-0.030183976,-0.224019392
Dreamcatcher,-0.031227538,-0.046134396
