movie_title,MDS_1,MDS_2
Get Carter ,-3.337099886,3.615187731
Club Dread ,-3.183631689,3.567245547
The Legend of Hercules ,0.942458003,2.551775119
The Client ,-1.201271638,2.606909631
I Am Number Four ,-0.736876487,-4.237237305
Entrapment ,-3.720642251,0.534701161
Courage ,-3.349333955,2.887537883
Charlie Bartlett ,-3.787582657,0.344365482
Bring It On ,-4.030798884,0.958468571
Twilight Zone: The Movie ,-0.497681211,3.209293727
Star Trek VI: The Undiscovered Country ,-1.270136835,1.057548522
The Other Boleyn Girl ,-1.407800359,-3.789595415
The Mothman Prophecies ,-3.519602595,-0.363696437
Austin Powers in Goldmember ,-1.970173617,-3.133048332
Simply Irresistible ,-1.577173285,4.815935987
Blade II ,-1.890383428,-2.816227176
Bamboozled ,-2.538092244,2.978259948
Antitrust ,-3.849679852,2.098362823
American Outlaws ,-2.52805964,4.053667919
The Transporter Refueled ,-4.695824255,1.451088196
Fantastic Four ,4.134894599,-3.581067194
The Pink Panther ,-4.209508418,0.383124559
Anacondas: The Hunt for the Blood Orchid ,-1.59812707,4.485871698
What Happens in Vegas ,-4.014608029,-0.274262653
Urbania ,-1.770760001,3.32048365
Mission: Impossible - Ghost Protocol ,8.671205949,-6.860633466
RoboCop ,7.220178374,-6.819709314
The Conspirator ,-3.396058244,-1.462949099
Toy Story ,4.124001868,-3.026054697
Pushing Tin ,-2.692678163,3.498847532
Puss in Boots ,-1.433832841,-3.832183153
Stepmom ,-2.528585199,1.817139729
The Joneses ,-4.167286251,0.869670514
Jay and Silent Bob Strike Back ,-2.46576866,-1.6778396
Monster House ,-3.549721157,-1.380308379
Twilight ,6.606474082,-6.749035712
Hocus Pocus ,-1.426164642,3.091249563
Lonesome Jim ,5.889412975,1.631625879
Loser ,-2.838217582,4.072211938
Domino ,4.991528767,-0.160682553
Critical Care ,-1.365006044,4.464663303
Eye of the Beholder ,-2.903798815,4.05505032
Forrest Gump ,14.19477083,-4.626129961
Derailed ,-3.724929175,0.789797153
Wasabi ,-2.333889206,3.638463822
Scooby-Doo 2: Monsters Unleashed ,-3.51054458,3.463411735
Mr. & Mrs. Smith ,0.781529062,-4.612494903
Love Stinks ,-2.119303879,4.40917429
Hollywood Ending ,5.587449456,1.155836959
Pulse ,-4.101677595,2.835111676
Inception ,48.87733304,-12.42135356
Johnny English Reborn ,-4.102600266,-0.090521948
Fair Game ,-3.413084878,-1.697983133
Beautiful Creatures ,-2.869622632,-2.512756078
Crazy Heart ,-1.508355157,-3.462993937
The Lives of Others ,1.961650168,-3.412870441
Girl 6 ,-0.587658495,5.14866827
Aliens vs. Predator: Requiem ,-2.989284194,-1.673745605
Driven ,-3.28531717,3.709659108
We Were Soldiers ,-1.868070992,-1.313368372
Lions for Lambs ,-2.398784023,-2.993627435
Flicka ,-3.076933058,3.628573511
Hostage ,-3.556989883,-0.686143541
The Relic ,-3.352472643,3.179030915
Pandorum ,-2.896882247,-2.350356532
The Messenger ,-3.26108896,-1.63838365
The Covenant ,-4.121411096,2.226945184
Bottle Rocket ,-2.084085325,2.401620317
Escape from New York ,-0.644660868,0.182603565
Rounders ,-1.539931254,0.130406971
Away We Go ,-3.303491999,-1.756924169
Little Shop of Horrors ,-0.511232727,2.819500835
Someone Like You... ,-3.322600732,2.682488436
The Last Dragon ,-0.000515706,3.114369628
The Tuxedo ,-3.440705788,3.439686203
Creepshow 2 ,-2.128737204,3.70945486
Sweet November ,-3.222208597,1.251214874
88 Minutes ,-4.191963317,0.442690622
Star Trek Into Darkness ,22.76519787,-5.484243913
The Order ,-3.423092214,3.538022782
Analyze This ,6.622619174,-0.014771556
Shorts ,-1.266343208,4.035977959
Coco Before Chanel ,-3.968578496,0.128495427
Meet Joe Black ,-0.405606638,-0.45992964
Doogal ,4.789421433,5.870935781
Ratatouille ,6.447076242,-5.665465726
Drowning Mona ,-3.129842716,3.718890532
The Game ,20.46160379,0.478293911
Moulin Rouge! ,3.463861567,-3.951941722
Harold & Kumar Go to White Castle ,-3.19665899,-0.466105721
The Illusionist ,0.451607047,-3.845445581
Tim and Eric's Billion Dollar Movie ,-2.229506587,4.272145429
American Wedding ,-3.766189834,-0.714359248
Les couloirs du temps: Les visiteurs II ,-0.928585845,4.581256387
Big Momma's House 2 ,-1.537724262,4.567305028
Spanglish ,-3.505304547,0.555304232
The Lost World: Jurassic Park ,11.4166219,-0.816984457
The Count of Monte Cristo ,-0.909773541,-1.059111746
The Chronicles of Narnia: The Voyage of the Dawn Treader ,-2.552921827,-2.906452527
Crossover ,6.429151215,6.196887414
Fury ,7.720423698,-6.817588486
Dredd ,4.497380295,-6.300820836
The In Crowd ,-0.44236099,5.213493528
The Expendables 2 ,8.185882184,-7.067236524
Blue Car ,-2.457669953,3.606842588
Blow ,-0.721015993,-1.590935429
Snow Flower and the Secret Fan ,-3.330265306,3.532481373
Spaceballs ,-1.031811379,1.36824833
The Guru ,-2.497732432,4.355470726
Idle Hands ,-2.774313406,3.560849271
Escape Plan ,-0.402294153,-4.463076315
Death at a Funeral ,-3.206766798,-0.836411808
Zoom ,0.794094669,5.135561206
Ghost World ,-2.045548473,-0.109327609
13 Going on 30 ,-4.038448183,0.827969262
Soul Plane ,-0.217408092,4.956713826
Saw IV ,-3.804615159,-1.067208306
The Brass Teapot ,-3.659464956,2.959551013
Big Fat Liar ,-3.063927412,3.870498892
The Missing Person ,-3.351228676,3.474495507
The Dark Knight ,54.7107859,2.536820064
Lady in White ,-1.902258487,2.334264182
Bachelorette ,-4.542620229,1.423156949
Chronicle ,4.045471392,-6.191799526
We Are Your Friends ,-4.271593196,0.43549253
The Nutcracker in 3D ,0.328035468,5.120386624
In Good Company ,-3.787014238,-0.239515464
District B13 ,-3.441452703,0.672778792
Star Wars: Episode V - The Empire Strikes Back ,11.59457051,-3.504595662
Virtuosity ,-2.00662187,4.389380435
The Fast and the Furious ,0.154698782,-3.931147903
Happy Feet ,-1.048326341,-3.661727199
Date Night ,-1.037033356,-4.085108975
Apocalypto ,2.533185613,-4.709817566
Lars and the Real Girl ,-1.912592116,-2.763582216
Stripes ,0.787992891,2.490400047
Hellraiser ,-1.839073753,0.125247375
Hotel Transylvania 2 ,-3.04355408,-2.329893477
One True Thing ,-1.876290244,2.474567453
Warrior ,4.834838362,-5.679885027
Pet Sematary ,-1.953985838,2.136002953
Percy Jackson: Sea of Monsters ,-3.291635573,-1.963207994
Kung Fu Panda 3 ,-1.322268375,-3.873648167
Hobo with a Shotgun ,-2.129580426,-2.958232774
Double Jeopardy ,-3.531229424,0.392635575
Batman Returns ,11.55414031,-0.111969975
Focus ,-0.714466211,-4.266632504
Cloudy with a Chance of Meatballs 2 ,-3.491481449,-1.713838976
Dylan Dog: Dead of Night ,-4.016512795,2.837739891
54 ,-2.846030059,3.599974001
Littleman ,-1.047197892,4.519251089
Stonewall ,-0.904797596,4.488777513
The Cave ,-4.067079051,2.56578016
The Crazies ,-1.419383337,-3.841519839
Home ,-2.60018056,-2.85506835
Predators ,1.193685217,-5.229102079
Monster's Ball ,-2.414306216,-0.445075421
Heavenly Creatures ,-1.275390584,1.737098551
Julie & Julia ,-1.300276184,-3.723887727
Furious 7 ,14.6572415,-7.678283349
Molly ,-1.132467176,4.76889996
Highlander ,-0.439299928,1.630924694
Thor: The Dark World ,13.54203116,-7.627049785
The Unborn ,-4.498657222,0.604670033
Chicago ,0.53572854,-3.822110278
8 Mile ,-2.018373941,-0.98849011
Dope ,-3.249562227,-1.88298932
Old School ,-2.269018088,-0.635424418
Morning Glory ,-3.581221941,-1.510601233
Alien: Resurrection ,-2.596206585,-2.059872418
Shakespeare in Love ,-0.938974256,-1.17957742
Jesus' Son ,-2.384872259,2.668457027
You Got Served ,1.122149246,5.238378572
Elizabethtown ,-3.330043038,-1.389160394
Defendor ,-3.681817833,2.257295752
Green Zone ,-1.750782155,-3.370871848
Hot Tub Time Machine 2 ,-2.944305268,3.706755066
Bless the Child ,-3.254345836,3.701119993
Monsoon Wedding ,-2.304487026,0.538842494
Bend It Like Beckham ,-3.311782231,-0.400586368
Attack the Block ,1.177299976,-5.103326504
Harley Davidson and the Marlboro Man ,-0.936053011,4.361518045
Patch Adams ,-2.258449457,0.95234
Patriot Games ,-0.946392042,2.315721415
This Is 40 ,-1.15566216,-3.992389426
Little Miss Sunshine ,2.507598071,-4.738439281
Severance ,-3.914591614,-0.461376856
Only the Strong ,-0.39143538,4.029762847
Bad Boys ,-1.694187401,1.707750332
Case 39 ,-4.112321759,0.010661692
Sgt. Bilko ,-1.422192707,4.613337864
Wicker Park ,-3.106427053,1.339069994
A Nightmare on Elm Street 5: The Dream Child ,-2.254770614,4.35879406
Drumline ,-3.398442385,3.198613769
Witness ,0.709029829,1.59195636
The Man from U.N.C.L.E. ,2.877602154,-5.831061971
The Fifth Estate ,-3.30195262,-2.004468269
Aliens in the Attic ,-3.046391287,3.929518008
Sin City: A Dame to Kill For ,1.626199213,-5.338687657
Detroit Rock City ,-2.083777853,3.240206324
50/50 ,3.048662538,-5.707239205
Terminator 2: Judgment Day ,8.622847831,-3.842114276
Black Knight ,-1.439201837,4.910591039
The Day the Earth Stood Still ,-1.615575209,-3.61169391
Don Jon ,16.69926371,-1.844577373
The Homesman ,-3.600827524,-1.512650584
The River Wild ,-1.758841846,3.51311899
Jackie Brown ,15.05909666,0.421110093
A Hard Day's Night ,3.413578096,2.599106606
Hoffa ,-0.649832453,3.421323049
Half Past Dead ,-0.830178064,5.056869065
Garden State ,-0.615083013,-2.877097974
Wimbledon ,-4.058014033,1.358973097
Bran Nue Dae ,-2.692057778,4.107674252
The Devil's Own ,-3.127116632,2.808432084
21 ,-2.820933499,-1.539676926
Crossroads ,1.145229256,4.555456479
Thr3e ,-0.932650144,5.08215037
City Hall ,-2.243147802,3.673436957
Event Horizon ,-1.801638133,-1.193242926
Sabotage ,-3.194878789,-1.930992133
Black Hawk Down ,2.349672423,-3.605047269
The Muppets ,2.519446941,-5.712159599
Bandits ,-3.324866435,0.690132632
Sorority Boys ,-2.190688733,4.550995953
Moonlight Mile ,-3.507675447,1.837818533
Remember Me ,-2.858193681,-1.654871932
The Names of Love ,-3.599856621,1.902730123
A Simple Plan ,-1.602264531,0.434707489
Mad City ,-2.278985349,3.538257243
Stealing Harvard ,-1.509183331,4.888866381
Bridge to Terabithia ,-1.98141335,-2.738081351
Bad Teacher ,-0.771854127,-3.956371274
TRON: Legacy ,7.91027964,-7.010919789
Spider-Man ,10.47229854,-6.490577845
A Most Violent Year ,-0.069210127,-4.64731937
50 First Dates ,-2.2058504,-2.053800167
She's Out of My League ,-3.821784307,-0.935628509
Hotel Transylvania ,1.946569045,-5.496368068
The Jungle Book ,9.146948734,-6.395755228
Movie 43 ,-3.889063004,-2.625502662
You Kill Me ,-4.008473653,1.801657774
Clockstoppers ,-2.808501634,4.070580874
3 Ninjas Kick Back ,1.576398371,5.698924698
Down and Out with the Dolls ,-1.236106646,4.701831877
Hero ,0.482406995,-3.691354346
