features,sqr_sum_loadings
num_critic_for_reviews,1.875076977
duration,1.73702815
director_facebook_likes,2.207512702
actor_3_facebook_likes,2.21315763
actor_1_facebook_likes,2.256794333
gross,2.139782645
num_voted_users,2.153372847
cast_total_facebook_likes,2.245685341
facenumber_in_poster,2.217209257
num_user_for_reviews,2.147434815
budget,2.2735001
title_year,0.553210872
actor_2_facebook_likes,2.250422473
imdb_score,1.019674977
aspect_ratio,2.155082611
movie_facebook_likes,2.228137303
